year,month,day,individualCount,stateProvince,decimalLongitude,decimalLatitude
2020,3,23,1,Victoria,146.09509,-38.34151
2023,6,6,1,Victoria,147.45221,-37.65338
2022,2,14,1,Victoria,146.32333,-38.21222
2023,2,15,1,Victoria,144.07216,-37.45264
2022,8,25,1,Victoria,145.91366,-37.33807
2021,11,19,1,Victoria,145.29435,-38.31301
2022,6,20,1,Victoria,144.10159,-37.47416
2021,5,26,1,Victoria,143.64474,-38.49269
2023,3,8,1,Victoria,144.22681,-37.37042
2022,4,26,1,Victoria,146.89119,-38.46983
2023,7,11,1,Victoria,144.30712,-37.29521
2022,1,16,1,Victoria,143.25948,-37.30084
2022,7,22,1,Victoria,143.64474,-38.49269
2020,12,23,1,Victoria,147.13624,-38.2614
2022,10,5,1,Victoria,141.67013,-38.00846
2021,10,7,1,Victoria,145.28152,-38.38817
2022,7,15,1,Victoria,145.29349,-38.31039
2022,1,1,1,Victoria,141.1863,-38.06022
2023,2,14,1,Victoria,144.09966,-37.4013
2023,6,20,1,Victoria,144.35612,-37.45559
2023,5,30,1,Victoria,144.35343,-37.43864
2021,9,13,1,Victoria,145.88974,-36.89344
2023,6,23,1,Victoria,145.71135,-37.83244
2022,10,3,1,Victoria,141.59923,-38.01573
2022,1,16,1,Victoria,143.25006,-37.06148
2022,11,9,1,Victoria,144.27705,-37.47023
2022,10,7,1,Victoria,141.68226,-38.19882
2020,12,23,1,Victoria,147.2378,-38.28659
2023,12,5,1,Victoria,143.25678,-37.08221
2023,3,9,1,Victoria,144.09159,-37.47272
2022,10,3,1,Victoria,141.53206,-37.98239
2021,3,11,1,Victoria,147.49357,-38.07614
2021,2,9,1,Victoria,146.78885,-36.45154
2020,5,17,1,Victoria,146.32614,-38.51776
2020,6,30,1,Victoria,147.12098,-38.34345
2020,7,23,1,Victoria,146.256,-37.96022
2023,6,2,1,Victoria,144.24387,-37.37812
2022,12,15,1,Victoria,145.70187,-37.57843
2021,2,20,1,Victoria,143.96303,-38.54241
2022,9,16,1,Victoria,145.37112,-38.37124
2022,3,23,1,Victoria,146.39789,-38.02788
2020,3,12,1,Victoria,145.66921,-37.59273
2023,2,14,1,Victoria,144.09968,-37.41146
2022,3,1,1,Victoria,145.67996,-37.81151
2021,6,2,1,Victoria,148.2969,-37.10019
2022,2,22,1,Victoria,146.48932,-37.66862
2021,2,2,1,Victoria,145.91978,-37.36129
2023,1,3,1,Victoria,144.18589,-37.46525
2020,7,8,1,Victoria,146.926,-38.50598
2022,6,2,1,Victoria,147.48029,-37.72599
2020,4,17,1,Victoria,146.23523,-38.5619
2022,10,5,1,Victoria,141.43276,-38.17134
2021,3,19,1,Victoria,147.49084,-38.09544
2020,3,22,1,Victoria,143.62788,-38.6188
2020,3,23,1,Victoria,145.93548,-38.28063
2023,3,8,1,Victoria,144.2252,-37.37434
2022,11,16,1,Victoria,144.2624,-37.44962
2022,1,17,1,Victoria,143.28509,-37.0881
2020,6,28,1,Victoria,145.27574,-38.1347
2022,12,11,4,Queensland,152.544945,-27.350309
2021,3,29,1,Victoria,146.67365,-38.37856
2021,6,29,1,Victoria,145.17242,-37.04285
2022,8,20,1,Victoria,145.37107,-38.37121
2023,2,14,1,Victoria,144.09834,-37.41134
2023,1,25,1,Victoria,144.26138,-37.45483
2021,7,19,4,Queensland,153.269271,-27.527925
2023,2,24,1,Victoria,145.92524,-36.79873
2022,10,12,1,Victoria,141.20535,-38.04568
2022,3,18,1,Victoria,144.32581,-37.44482
2020,6,24,1,Victoria,147.01121,-38.38098
2022,10,14,1,Victoria,141.06541,-38.01393
2020,12,9,1,Victoria,146.50082,-38.59823
2021,12,6,1,Victoria,145.49804,-38.35004
2022,12,15,1,Victoria,145.70187,-37.57843
2021,12,8,1,Victoria,145.49803,-38.34995
2021,4,27,1,Victoria,146.68182,-38.65962
2020,3,30,1,Victoria,146.27649,-38.2425
2023,2,12,4,South Australia,138.70654,-34.99039
2022,11,8,1,Victoria,149.67873,-37.47884
2020,9,15,1,Victoria,144.1924,-37.427
2020,10,3,3,Victoria,144.27217,-37.78976
2022,6,28,1,Victoria,145.71117,-37.8679
2023,6,5,1,Victoria,147.45651,-37.65299
2022,10,12,1,Victoria,141.14034,-38.01607
2022,10,5,1,Victoria,141.60643,-38.03115
2023,3,9,1,Victoria,144.09159,-37.47272
2023,6,6,1,Victoria,147.45244,-37.64368
2023,2,9,1,Victoria,144.10213,-37.44746
2021,4,30,1,Victoria,146.7773,-38.39513
2022,8,9,1,Victoria,143.50873,-38.55414
2022,4,26,1,Victoria,146.86214,-38.47536
2022,10,12,1,Victoria,141.17144,-38.02017
2022,1,20,1,Victoria,144.29962,-37.32881
2021,9,1,1,Victoria,145.43077,-38.33339
2020,3,9,1,Victoria,146.23035,-38.22155
2023,3,8,1,Victoria,144.2707,-37.34417
